29/04/2017, 19:53:40, Temp:25.91, Cisn:100458.92, Wys:75.05, %RH:34.16,
29/04/2017, 19:54:10, Temp:25.88, Cisn:100451.19, Wys:75.49, %RH:35.46,
29/04/2017, 19:54:40, Temp:25.88, Cisn:100458.46, Wys:74.86, %RH:33.80,
29/04/2017, 19:55:10, Temp:25.87, Cisn:100454.91, Wys:75.17, %RH:35.65,
29/04/2017, 19:55:40, Temp:25.87, Cisn:100456.79, Wys:75.01, %RH:33.97,
29/04/2017, 19:56:10, Temp:25.85, Cisn:100451.57, Wys:75.22, %RH:34.58,
29/04/2017, 19:56:40, Temp:25.85, Cisn:100454.28, Wys:75.22, %RH:35.20,
29/04/2017, 19:57:10, Temp:25.85, Cisn:100454.28, Wys:75.22, %RH:35.82,
29/04/2017, 19:57:40, Temp:25.86, Cisn:100455.10, Wys:75.15, %RH:35.84,
29/04/2017, 19:58:10, Temp:25.85, Cisn:100451.57, Wys:75.46, %RH:35.16,
29/04/2017, 19:58:40, Temp:25.84, Cisn:100449.03, Wys:75.68, %RH:35.47,
29/04/2017, 19:59:10, Temp:25.86, Cisn:100455.10, Wys:75.15, %RH:35.94,
29/04/2017, 19:59:40, Temp:25.84, Cisn:100452.58, Wys:75.37, %RH:34.59,
29/04/2017, 20:00:10, Temp:25.82, Cisn:100453.82, Wys:75.26, %RH:35.90,
29/04/2017, 20:00:40, Temp:25.84, Cisn:100449.03, Wys:75.68, %RH:35.20,
29/04/2017, 20:01:10, Temp:25.82, Cisn:100449.22, Wys:75.66, %RH:35.58,
29/04/2017, 20:01:40, Temp:25.78, Cisn:100458.73, Wys:75.77, %RH:34.88,
29/04/2017, 20:02:10, Temp:25.79, Cisn:100451.46, Wys:75.47, %RH:36.88,
29/04/2017, 20:02:40, Temp:25.78, Cisn:100456.02, Wys:75.07, %RH:35.84,
29/04/2017, 20:03:10, Temp:25.78, Cisn:100458.73, Wys:74.84, %RH:38.02,
29/04/2017, 20:03:40, Temp:25.78, Cisn:100455.21, Wys:75.14, %RH:36.80,
29/04/2017, 20:04:10, Temp:25.78, Cisn:100461.44, Wys:74.60, %RH:37.33,
29/04/2017, 20:04:40, Temp:25.79, Cisn:100459.58, Wys:74.76, %RH:36.19,
29/04/2017, 20:05:10, Temp:25.75, Cisn:100461.82, Wys:74.57, %RH:36.54,
29/04/2017, 20:05:40, Temp:25.77, Cisn:100461.63, Wys:74.58, %RH:37.05,
29/04/2017, 20:06:10, Temp:25.78, Cisn:100461.44, Wys:74.60, %RH:36.47,
29/04/2017, 20:06:40, Temp:25.80, Cisn:100456.67, Wys:75.01, %RH:38.59,
29/04/2017, 20:07:10, Temp:25.81, Cisn:100455.67, Wys:74.63, %RH:35.58,
29/04/2017, 20:07:40, Temp:25.86, Cisn:100469.47, Wys:73.90, %RH:37.69,
